team,home_games,home_wins,home_ties,home_losses,home_goal_diff,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goal_diff,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,season
Manchester City,19,18,0,1,45,2.84,50.1,13.5,36.6,1.93,19,14,2,3,27,2.32,34.2,11.3,23.0,1.21,2018-2019
Liverpool,19,17,2,0,45,2.79,42.2,13.2,28.9,1.52,19,13,5,1,22,2.32,31.6,15.6,16.0,0.84,2018-2019
Chelsea,19,12,6,1,27,2.21,31.0,14.4,16.6,0.87,19,9,3,7,-3,1.58,27.6,22.0,5.6,0.29,2018-2019
Tottenham,19,12,2,5,18,2.0,31.3,24.3,6.9,0.36,19,11,0,8,10,1.74,23.6,22.8,0.8,0.04,2018-2019
Arsenal,19,14,3,2,26,2.37,34.6,23.5,11.0,0.58,19,7,4,8,-4,1.32,25.5,30.7,-5.2,-0.27,2018-2019
Manchester Utd,19,10,6,3,8,1.89,31.8,21.6,10.2,0.54,19,9,3,7,3,1.58,29.7,29.0,0.6,0.03,2018-2019
Wolves,19,10,4,5,7,1.79,31.3,18.9,12.4,0.65,19,6,5,8,-6,1.21,20.9,23.2,-2.3,-0.12,2018-2019
Everton,19,10,4,5,9,1.79,28.0,21.7,6.2,0.33,19,5,5,9,-1,1.05,21.7,24.0,-2.3,-0.12,2018-2019
Leicester City,19,8,3,8,4,1.42,26.3,19.9,6.5,0.34,19,7,4,8,-1,1.32,26.1,23.8,2.3,0.12,2018-2019
West Ham,19,9,4,6,5,1.63,25.2,23.3,1.9,0.1,19,6,3,10,-8,1.11,22.5,38.6,-16.2,-0.85,2018-2019
Watford,19,8,3,8,-2,1.42,23.1,29.2,-6.2,-0.32,19,6,5,8,-5,1.21,25.2,30.0,-4.8,-0.25,2018-2019
Crystal Palace,19,5,5,9,-4,1.05,28.1,23.5,4.7,0.25,19,9,2,8,2,1.53,19.5,26.6,-7.2,-0.38,2018-2019
Newcastle Utd,19,8,1,10,-1,1.32,22.6,25.2,-2.6,-0.14,19,4,8,7,-5,1.05,16.5,28.3,-11.9,-0.62,2018-2019
Bournemouth,19,8,5,6,5,1.53,27.7,25.2,2.5,0.13,19,5,1,13,-19,0.84,25.6,32.0,-6.4,-0.34,2018-2019
Burnley,19,7,2,10,-8,1.21,25.6,26.3,-0.8,-0.04,19,4,5,10,-15,0.89,18.8,35.7,-16.9,-0.89,2018-2019
Southampton,19,5,8,6,-3,1.21,24.6,25.0,-0.4,-0.02,19,4,4,11,-17,0.84,22.3,30.1,-7.8,-0.41,2018-2019
Brighton,19,6,5,8,-9,1.21,19.9,24.0,-4.1,-0.22,19,3,4,12,-16,0.68,15.4,35.1,-19.7,-1.04,2018-2019
Cardiff City,19,6,2,11,-17,1.05,24.6,25.5,-1.0,-0.05,19,4,2,13,-18,0.74,17.8,35.9,-18.2,-0.96,2018-2019
Fulham,19,6,3,10,-14,1.11,24.0,27.8,-3.7,-0.2,19,1,2,16,-33,0.26,17.3,40.4,-23.1,-1.22,2018-2019
Huddersfield,19,2,3,14,-21,0.47,16.2,28.0,-11.8,-0.62,19,1,4,14,-33,0.37,12.6,32.9,-20.3,-1.07,2018-2019
